,out_N,out_C,out_S,I_predict,out_N_simple,out_C_simple,out_S_simple
31,-0.16851941,-0.77610594,-0.61422837,2.945742,-0.03392234,-0.59110284,-0.40178284
32,-0.1689406,-0.77629066,-0.6139662,2.60758,-0.038988847,-0.6023876,-0.41064748
33,-0.16934864,-0.7764582,-0.6137273,1.4424863,-0.043959614,-0.6134089,-0.41932252
34,-0.16974351,-0.7766087,-0.613511,0.31410876,-0.04883579,-0.62416816,-0.42780882
35,-0.17012514,-0.7767423,-0.6133173,0.22661147,-0.05361859,-0.6346666,-0.4361071
36,-0.1704936,-0.7768591,-0.6131457,1.2766182,-0.058309153,-0.64490616,-0.44421837
37,-0.17084885,-0.77695924,-0.6129962,2.5339315,-0.06290857,-0.65488786,-0.4521435
38,-0.17119083,-0.7770429,-0.6128684,3.0101995,-0.06741797,-0.6646132,-0.45988315
39,-0.1715196,-0.7771101,-0.6127621,2.647572,-0.07183848,-0.6740835,-0.46743834
40,-0.17183514,-0.7771611,-0.6126772,2.2226555,-0.07617118,-0.68330044,-0.47481
41,-0.17213736,-0.77719593,-0.6126134,2.3157253,-0.080417156,-0.6922654,-0.48199874
42,-0.1724264,-0.77721477,-0.6125703,2.5930579,-0.084577434,-0.7009797,-0.4890057
43,-0.17270213,-0.77721775,-0.6125479,2.269581,-0.0886531,-0.709445,-0.49583182
44,-0.17296463,-0.777205,-0.6125456,1.1887406,-0.09264515,-0.7176631,-0.502478
45,-0.17321394,-0.7771767,-0.61256355,0.19007161,-0.096554615,-0.7256353,-0.5089451
46,-0.17345002,-0.77713287,-0.6126015,0.267427,-0.10038251,-0.73336333,-0.5152343
47,-0.17367294,-0.7770737,-0.6126591,1.4642601,-0.104129806,-0.7408488,-0.5213467
48,-0.17388274,-0.77699935,-0.6127359,2.7853947,-0.10779749,-0.7480935,-0.52728325
49,-0.17407939,-0.7769098,-0.61283207,3.2368684,-0.11138653,-0.75509924,-0.5330452
50,-0.17426302,-0.7768054,-0.6129471,2.8174398,-0.114897855,-0.76186776,-0.5386335
51,-0.17443363,-0.77668613,-0.6130809,2.3677964,-0.11833241,-0.7684011,-0.5440498
52,-0.17459133,-0.77655226,-0.6132334,2.5062022,-0.121691085,-0.7747013,-0.54929525
53,-0.17473622,-0.77640367,-0.6134039,2.901197,-0.12497487,-0.7807701,-0.554371
54,-0.17486827,-0.77624077,-0.6135926,2.7073796,-0.12818454,-0.78660977,-0.55927867
55,-0.17498763,-0.7760636,-0.6137992,1.641682,-0.13132107,-0.79222274,-0.5640196
56,-0.17509443,-0.77587223,-0.61402345,0.44579345,-0.13438526,-0.7976107,-0.56859547
57,-0.17518872,-0.7756668,-0.6142649,0.17656001,-0.13737802,-0.80277634,-0.57300776
58,-0.17527069,-0.77544725,-0.61452377,1.0930883,-0.14030017,-0.80772203,-0.5772582
59,-0.17534037,-0.77521425,-0.6147994,2.3747985,-0.14315253,-0.81244993,-0.5813483
60,-0.17539799,-0.77496755,-0.6150917,2.9844275,-0.14593592,-0.81696314,-0.5852801
61,-0.17544366,-0.7747072,-0.61540073,2.7128868,-0.14865118,-0.8212638,-0.5890556
62,-0.17547749,-0.7744333,-0.6157259,2.2510784,-0.15129901,-0.82535475,-0.5926764
63,-0.17549975,-0.77414656,-0.61606723,2.2555478,-0.1538803,-0.82923883,-0.5961447
64,-0.17551051,-0.7738463,-0.61642444,2.534101,-0.15639575,-0.8329188,-0.59946245
65,-0.17551005,-0.77353334,-0.61679727,2.3258505,-0.15884617,-0.836398,-0.60263205
66,-0.1754985,-0.77320725,-0.61718535,1.3418921,-0.16123222,-0.8396787,-0.6056555
67,-0.17547604,-0.77286863,-0.61758894,0.29603013,-0.16355471,-0.8427647,-0.60853505
68,-0.17544298,-0.77251714,-0.61800736,0.22351116,-0.16581437,-0.84565866,-0.6112734
69,-0.17539944,-0.77215356,-0.61844087,1.3259933,-0.16801187,-0.8483643,-0.6138728
70,-0.17534573,-0.7717774,-0.6188886,2.6891348,-0.17014796,-0.8508845,-0.61633563
71,-0.17528206,-0.77138907,-0.6193508,3.2372987,-0.17222328,-0.853223,-0.6186646
72,-0.17520869,-0.7709885,-0.6198273,2.8481796,-0.1742386,-0.855383,-0.62086236
73,-0.17512588,-0.77057624,-0.6203177,2.3557732,-0.17619453,-0.8573681,-0.6229318
74,-0.17503387,-0.77015203,-0.6208219,2.4702656,-0.17809178,-0.859182,-0.6248753
75,-0.17493293,-0.7697163,-0.6213395,2.9094336,-0.179931,-0.86082834,-0.6266961
76,-0.17482342,-0.76926875,-0.6218705,2.7718003,-0.18171284,-0.8623106,-0.62839687
77,-0.17470554,-0.76880985,-0.6224146,1.7019334,-0.18343791,-0.863633,-0.62998086
78,-0.1745796,-0.7683397,-0.6229718,0.4526554,-0.18510692,-0.86479884,-0.63145083
79,-0.17444594,-0.76785856,-0.6235416,0.14921716,-0.18672046,-0.86581236,-0.6328099
